period,year0,name,alpha3,b,d,net
2000--2005,2e3,Mexico,MEX,12090.126,2426.132,-2911.437
2000--2005,2e3,Nicaragua,NIC,658.731,132.198,-173.998
2000--2005,2e3,Panama,PAN,360.065,76.065,16.119
2000--2005,2e3,Argentina,ARG,3658.866,1480.828,-90
2000--2005,2e3,Bolivia (Plurinational State of),BOL,1287.916,412.028,-89.995
2000--2005,2e3,Brazil,BRA,16949.009,5319.23,0
2000--2005,2e3,Chile,CHL,1264.425,417.477,37.362
2000--2005,2e3,Colombia,COL,4212.842,1172.162,-159.003
2000--2005,2e3,Ecuador,ECU,1566.586,339.948,-120.002
2000--2005,2e3,French Guiana,GUF,26.181,3.213,17.699
2000--2005,2e3,Guyana,GUY,90.86,28.961,-64.249
2000--2005,2e3,Paraguay,PRY,695.406,155.697,-46.919
2000--2005,2e3,Peru,PER,3079.039,748.509,-634.999
2000--2005,2e3,Suriname,SUR,53.901,18.224,-9.124
2000--2005,2e3,Uruguay,URY,264.759,156.393,-104
2000--2005,2e3,Venezuela (Bolivarian Republic of),VEN,2943.588,640.12,-7.648
2000--2005,2e3,Canada,CAN,1662.033,1136.534,1026.702
2000--2005,2e3,United States of America,USA,20241.846,12301.662,5206.538
2000--2005,2e3,Australia,AUS,1257.036,659.076,575.104
2000--2005,2e3,New Zealand,NZL,283.45,141.716,134.629
2000--2005,2e3,Fiji,FJI,97.864,25.47,-61.797
2000--2005,2e3,New Caledonia,NCL,21.177,6.138,4.771
2000--2005,2e3,Papua New Guinea,PNG,981.521,238.03,-1.001
2000--2005,2e3,Solomon Islands,SLB,77.389,15.217,-4.898
2000--2005,2e3,Vanuatu,VUT,30.474,5.655,-0.502
2000--2005,2e3,Guam,GUM,16.245,3.616,-9.556
2000--2005,2e3,Kiribati,KIR,13.188,3.226,-2.039
2000--2005,2e3,Micronesia (Fed. States of),FSM,15.014,3.397,-12.85
2000--2005,2e3,French Polynesia,PYF,23.475,5.935,0.077
2000--2005,2e3,Samoa,WSM,26.273,5.234,-15.726
2000--2005,2e3,Tonga,TON,14.195,3.107,-8.129
2005--2010,2005,Burundi,BDI,1765.26,523.68,102.069
2005--2010,2005,Comoros,COM,116.423,28.356,-10
2005--2010,2005,Djibouti,DJI,107.827,38.435,-1.499
2005--2010,2005,Eritrea,ERI,769.391,187.565,-159.999
2005--2010,2005,Ethiopia,ETH,14952.882,3927.156,-50.132
2005--2010,2005,Kenya,KEN,7158.054,1666.856,-189.33
2005--2010,2005,Madagascar,MDG,3606.6,784.181,-7.5
2005--2010,2005,Malawi,MWI,2992.414,828.206,-36.82
2005--2010,2005,Mauritius,MUS,81.929,43.902,-12.079
2005--2010,2005,Mayotte,MYT,35.185,2.565,-2
2005--2010,2005,Mozambique,MOZ,4800.289,1461.956,-40
2005--2010,2005,Reunion,REU,72.388,21.052,-12.422
2005--2010,2005,Rwanda,RWA,1773.548,439.345,-79.101
2005--2010,2005,Seychelles,SYC,8.528,3.359,-2.511
2005--2010,2005,Somalia,SOM,2592.409,762.855,-186.25
2005--2010,2005,South Sudan,SSD,1791.666,618.35,785
2005--2010,2005,Uganda,UGA,7246.768,1740.572,-135
2005--2010,2005,United Republic of Tanzania,TZA,8998.135,2044.773,-265.317
2005--2010,2005,Zambia,ZMB,2691.976,770.058,-124.044
2005--2010,2005,Zimbabwe,ZWE,2403.177,956.89,-300
2005--2010,2005,Angola,AGO,5022.313,1291.01,85.286
2005--2010,2005,Cameroon,CMR,3756.128,1152.422,-54
2005--2010,2005,Central African Republic,CAF,826.631,380.4,-125.614
2005--2010,2005,Chad,TCD,2638.51,893.309,75
2005--2010,2005,Congo,COG,786.993,214.405,95.864
2005--2010,2005,Democratic Republic of the Congo,COD,13529.806,3714.596,-43.426
2005--2010,2005,Equatorial Guinea,GNQ,165.25,51.473,80.003
2005--2010,2005,Gabon,GAB,243.861,75.496,68.72
2005--2010,2005,Sao Tome and Principe,STP,31.086,6.341,-5.599
2005--2010,2005,Algeria,DZA,4007.791,821.253,-357.34
2005--2010,2005,Egypt,EGY,10142.269,2529.239,-283.573
2005--2010,2005,Libya,LBY,634.902,139.881,-118.555
2005--2010,2005,Morocco,MAR,3315.727,862.018,-565.14
2005--2010,2005,Sudan,SDN,5974.128,1421.935,-1078.146
2005--2010,2005,Tunisia,TUN,883.635,313.242,-32.941
2005--2010,2005,Western Sahara,ESH,50.276,12.812,5.291
2005--2010,2005,Botswana,BWA,244.575,104.289,18.73
2005--2010,2005,Lesotho,LSO,283.726,152.724,-40
2005--2010,2005,Namibia,NAM,310.469,119.498,-50
2005--2010,2005,South Africa,ZAF,5746.733,3610.162,627.5
2005--2010,2005,Swaziland,SWZ,185.41,82.437,-6
2005--2010,2005,Benin,BEN,1719.855,454.05,-48.776
2005--2010,2005,Burkina Faso,BFA,3173.477,865.191,-125
2005--2010,2005,Cabo Verde,CPV,59.229,13.785,-17.623
2005--2010,2005,Cote d'Ivoire,CIV,3748.14,1463.111,-220
2005--2010,2005,Gambia,GMB,336.614,74.931,-13.742
2005--2010,2005,Ghana,GHA,3880.759,1099.921,189.259
2005--2010,2005,Guinea,GIN,2030.682,616.258,-300
2005--2010,2005,Guinea-Bissau,GNB,292.238,92.195,-25.002
2005--2010,2005,Liberia,LBR,696.316,185.003,175.585
2005--2010,2005,Mali,MLI,3322.518,945.373,-100.823
2005--2010,2005,Mauritania,MRT,618.245,149.425,10.005
2005--2010,2005,Niger,NER,3822.569,986.944,-28.497
2005--2010,2005,Nigeria,NGA,31196.795,11258.011,-300
2005--2010,2005,Senegal,SEN,2325.519,494.507,-166.051
2005--2010,2005,Sierra Leone,SLE,1266.388,526.05,60
2005--2010,2005,Togo,TGO,1168.344,338.667,-9.999
2005--2010,2005,China,CHN,85118.397,44346.369,-2140.892
2005--2010,2005,"China, Hong Kong SAR",HKG,313.034,205.319,89.747
2005--2010,2005,"China, Macao SAR",MAC,21.567,9.541,42.381
2005--2010,2005,Dem. People's Republic of Korea,PRK,1798.843,1086.728,-24.681
2005--2010,2005,Japan,JPN,5571.145,5632.622,277.58
2005--2010,2005,Mongolia,MNG,291.082,89.876,-15.001
2005--2010,2005,Republic of Korea,KOR,2288.509,1287.62,-156.535
2005--2010,2005,Kazakhstan,KAZ,1721.473,828.757,-35.196
2005--2010,2005,Kyrgyzstan,KGZ,625.011,201.446,-76.604
2005--2010,2005,Tajikistan,TJK,1068.534,207.841,-73.245
2005--2010,2005,Turkmenistan,TKM,574.673,179.393,-62.717
2005--2010,2005,Uzbekistan,UZB,3091.01,856.778,-140.13
2005--2010,2005,Afghanistan,AFG,5709.012,1199.152,-777.497
2005--2010,2005,Bangladesh,BGD,16634.396,4345.441,-3570.954
2005--2010,2005,Bhutan,BTN,76.648,22.474,16.829
2005--2010,2005,India,IND,136175.517,46399.67,-2913.829
2005--2010,2005,Iran (Islamic Republic of),IRN,6560.924,1865.95,-549.266
2005--2010,2005,Maldives,MDV,33.475,5.797,17.994
2005--2010,2005,Nepal,NPL,3322.272,915.518,-1023.896
2005--2010,2005,Pakistan,PAK,24555.792,6508.898,-1396.377
2005--2010,2005,Sri Lanka,LKA,1828.038,634.177,-520.065
2005--2010,2005,Brunei Darussalam,BRN,31.314,5.728,-2.089
2005--2010,2005,Cambodia,KHM,1810.295,475.77,-295.987
2005--2010,2005,Indonesia,IDN,25000.466,8444.359,-744.715
2005--2010,2005,Lao People's Democratic Republic,LAO,836.92,234.408,-110.258
2005--2010,2005,Malaysia,MYS,2369.674,628.072,711.297
2005--2010,2005,Myanmar,MMR,5247.284,2107.202,-1466.799
2005--2010,2005,Philippines,PHL,11635.967,2683.583,-1500.002
2005--2010,2005,Singapore,SGP,241.287,107.318,449.245
2005--2010,2005,Thailand,THA,4097.796,2373.459,59.008
2005--2010,2005,Timor-Leste,TLS,210.314,33.456,-93.744
2005--2010,2005,Viet Nam,VNM,7477.72,2436.372,-877.681
2005--2010,2005,Armenia,ARM,220.933,141.516,-183.361
2005--2010,2005,Azerbaijan,AZE,733.807,293.53,53.58
2005--2010,2005,Bahrain,BHR,92.281,12.583,272
2005--2010,2005,Cyprus,CYP,62.647,36.356,58.658
2005--2010,2005,Georgia,GEO,297.251,252.661,-299.482
2005--2010,2005,Iraq,IRQ,5044.442,832.842,-457.332
2005--2010,2005,Israel,ISR,742.6,193.249,273.635
2005--2010,2005,Jordan,JOR,944.072,125.796,649.997
2005--2010,2005,Kuwait,KWT,275.584,33.622,479.5
2005--2010,2005,Lebanon,LBN,264.634,97.714,183.37
2005--2010,2005,Oman,OMN,303.75,40.559,267
2005--2010,2005,Qatar,QAT,84.298,10.782,841.3
2005--2010,2005,Saudi Arabia,SAU,2990.136,465.103,995
2005--2010,2005,State of Palestine,PSE,650.47,69.811,-90.001
2005--2010,2005,Syrian Arab Republic,SYR,2696.725,342.501,370
2005--2010,2005,Turkey,TUR,6546.46,2072.953,-50
2005--2010,2005,United Arab Emirates,ARE,408.955,48.84,3331
2005--2010,2005,Yemen,YEM,3915.268,825.643,-65.768
2005--2010,2005,Belarus,BLR,511.239,723.651,63.933
2005--2010,2005,Bulgaria,BGR,363.924,559.352,-83.742
2005--2010,2005,Czech Republic,CZE,562.064,534.844,250.889
2005--2010,2005,Hungary,HUN,477.072,660.843,25.15
2005--2010,2005,Poland,POL,2013.315,1874.12,-178.456
2005--2010,2005,Republic of Moldova,MDA,225.792,251.105,-47.911
2005--2010,2005,Romania,ROU,1089.408,1305.432,-774.651
2005--2010,2005,Russian Federation,RUS,8091.178,10712.846,2157.349
2005--2010,2005,Slovakia,SVK,281.19,266.997,-8.855
2005--2010,2005,Ukraine,UKR,2401.612,3770.813,269.541
2005--2010,2005,Channel Islands,CHI,7.821,7.015,4.479
2005--2010,2005,Denmark,DNK,322.398,277.239,87.989
2005--2010,2005,Estonia,EST,77.529,85.93,-15.151
2005--2010,2005,Finland,FIN,298.016,248.717,57.558
2005--2010,2005,Iceland,ISL,23.108,9.761,12.007
2005--2010,2005,Ireland,IRL,356.425,140.617,198.144
2005--2010,2005,Latvia,LVA,114.464,161.004,-86.594
2005--2010,2005,Lithuania,LTU,156.606,226.126,-150.93
2005--2010,2005,Norway,NOR,300.048,209.968,163.433
2005--2010,2005,Sweden,SWE,547.326,458.237,262.453
2005--2010,2005,United Kingdom,GBR,3889.075,2899.055,2030.075
2005--2010,2005,Albania,ALB,179.589,100.888,-217.358
2005--2010,2005,Bosnia and Herzegovina,BIH,175.912,176.11,-59.246
2005--2010,2005,Croatia,HRV,218.836,258.238,-10.499
2005--2010,2005,Greece,GRC,596.473,531.829,80.157
2005--2010,2005,Italy,ITA,2801.582,2886.573,1006.308
2005--2010,2005,Malta,MLT,19.385,16.691,6.63
2005--2010,2005,Montenegro,MNE,40.688,32.103,-0.683
2005--2010,2005,Portugal,PRT,516.582,522.117,92.133
2005--2010,2005,Serbia,SRB,496.331,565.213,-116.385
2005--2010,2005,Slovenia,SVN,102.713,93.171,39.348
2005--2010,2005,Spain,ESP,2425.681,1938.683,2259
2005--2010,2005,TFYR Macedonia,MKD,114.349,96.49,-7.399
2005--2010,2005,Austria,AUT,386.98,384.446,153.763
2005--2010,2005,Belgium,BEL,625.636,528.053,294.27
2005--2010,2005,France,FRA,3933.58,2677.086,536.344
2005--2010,2005,Germany,DEU,3393.426,4212.962,43.087
2005--2010,2005,Luxembourg,LUX,27.527,19.764,42.279
2005--2010,2005,Netherlands,NLD,931.159,681.107,65.713
2005--2010,2005,Switzerland,CHE,383.64,306.848,344.872
2005--2010,2005,Antigua and Barbuda,ATG,8.283,2.787,-0.092
2005--2010,2005,Aruba,ABW,5.899,3.822,-0.441
2005--2010,2005,Bahamas,BHS,27.19,9.966,14.363
2005--2010,2005,Barbados,BRB,17.636,14.133,2.05
2005--2010,2005,Cuba,CUB,622.144,394.616,-178.725
2005--2010,2005,Curacao,CUW,8.523,5.677,15.363
2005--2010,2005,Dominican Republic,DOM,1100.633,286.442,-153.773
2005--2010,2005,Grenada,GRD,10.006,4.004,-4.274
2005--2010,2005,Guadeloupe,GLP,30.326,15.234,-3.928
2005--2010,2005,Haiti,HTI,1340.423,466.211,-138.004
2005--2010,2005,Jamaica,JAM,256.804,96.866,-87.395
2005--2010,2005,Martinique,MTQ,26.9,14.923,-14.113
2005--2010,2005,Puerto Rico,PRI,239.891,150.559,-138.043
2005--2010,2005,Saint Lucia,LCA,11.53,5.512,2.85
2005--2010,2005,Saint Vincent and the Grenadines,VCT,9.657,3.969,-5.122
2005--2010,2005,Trinidad and Tobago,TTO,100.713,58.248,-11.303
2005--2010,2005,United States Virgin Islands,VIR,8.481,3.858,-6.267
2005--2010,2005,Belize,BLZ,37.052,7.444,8.722
2005--2010,2005,Costa Rica,CRI,364.481,97.39,30.339
2005--2010,2005,El Salvador,SLV,622.297,200.96,-285.671
2005--2010,2005,Guatemala,GTM,2021.789,373.168,-114.231
2005--2010,2005,Honduras,HND,1037.076,191.726,-24
2005--2010,2005,Mexico,MEX,11696.515,2603.802,-246.002
2005--2010,2005,Nicaragua,NIC,648.629,135.234,-155
2005--2010,2005,Panama,PAN,375.412,84.901,22.244
2005--2010,2005,Argentina,ARG,3708.166,1544.77,-84.998
2005--2010,2005,Bolivia (Plurinational State of),BOL,1276.222,399.379,-84.003
2005--2010,2005,Brazil,BRA,15506.971,5628.065,0
2005--2010,2005,Chile,CHL,1251.096,464.188,59.383
2005--2010,2005,Colombia,COL,4020.994,1245.529,-143
2005--2010,2005,Ecuador,ECU,1616.214,371.755,-44.999
2005--2010,2005,French Guiana,GUF,30.823,3.48,3.004
2005--2010,2005,Guyana,GUY,79.998,28.915,-55.476
2005--2010,2005,Paraguay,PRY,699.807,168.124,-117.299
2005--2010,2005,Peru,PER,3042.453,789.216,-489.999
2005--2010,2005,Suriname,SUR,52.01,18.373,-6.485
2005--2010,2005,Uruguay,URY,253.256,154.45,-50
2005--2010,2005,Venezuela (Bolivarian Republic of),VEN,2999.97,727.701,-28.395
2005--2010,2005,Canada,CAN,1846.624,1195.84,1229.905
2005--2010,2005,United States of America,USA,20783.126,12304.925,5033.689
2005--2010,2005,Australia,AUS,1457.04,698.569,1122.688
2005--2010,2005,New Zealand,NZL,317.583,145.29,62.413
2005--2010,2005,Fiji,FJI,94.33,27.444,-28.754
2005--2010,2005,New Caledonia,NCL,21.064,6.948,4.234
2005--2010,2005,Papua New Guinea,PNG,1043.277,248.743,-1.001
2005--2010,2005,Solomon Islands,SLB,84.574,14.777,-11.896
2005--2010,2005,Vanuatu,VUT,31.416,5.626,1.135
2005--2010,2005,Guam,GUM,14.577,3.762,-9.776
2005--2010,2005,Kiribati,KIR,14.403,3.505,-0.578
2005--2010,2005,Micronesia (Fed. States of),FSM,12.86,3.307,-12.132
2005--2010,2005,French Polynesia,PYF,22.638,6.245,-3.463
2005--2010,2005,Samoa,WSM,26.729,5.08,-15.371
2005--2010,2005,Tonga,TON,14.466,3.177,-8.196
2010--2015,2010,Burundi,BDI,2054.631,552.294,-70
2010--2015,2010,Comoros,COM,126.32,28.588,-10
2010--2015,2010,Djibouti,DJI,107.994,37.738,6.002
2010--2015,2010,Eritrea,ERI,793.282,177.143,-159.999
2010--2015,2010,Ethiopia,ETH,15775.995,3545.637,-60.001
2010--2015,2010,Kenya,KEN,7335.594,1399.487,-50
2010--2015,2010,Madagascar,MDG,3872.083,782.134,-7.5
2010--2015,2010,Malawi,MWI,3118.445,681.939,-30
2010--2015,2010,Mauritius,MUS,69.846,46.262,-12.079
2010--2015,2010,Mayotte,MYT,35.576,2.784,-1.5
2010--2015,2010,Mozambique,MOZ,5277.752,1463.468,-25
2010--2015,2010,Reunion,REU,70.295,23.31,-14.141
2010--2015,2010,Rwanda,RWA,1832.719,370.905,-79.101
2010--2015,2010,Seychelles,SYC,8.208,3.674,-2.201
2010--2015,2010,Somalia,SOM,2880.066,798.297,-226.869
2010--2015,2010,South Sudan,SSD,2045.635,655.694,425
2010--2015,2010,Uganda,UGA,8121.619,1741.883,-150
2010--2015,2010,United Republic of Tanzania,TZA,9946.857,1965.492,-199.999
2010--2015,2010,Zambia,ZMB,2942.17,657.131,-34.49
2010--2015,2010,Zimbabwe,ZWE,2660.007,718.881,-249.999
2010--2015,2010,Angola,AGO,5593.779,1190.919,87.322
2010--2015,2010,Cameroon,CMR,4082.786,1182.759,-36
2010--2015,2010,Central African Republic,CAF,837.836,344.129,-396.129
2010--2015,2010,Chad,TCD,2926.618,904.41,100
2010--2015,2010,Congo,COG,863.434,194.485,-60.001
2010--2015,2010,Democratic Republic of the Congo,COD,15482.351,3824.054,15.06
2010--2015,2010,Equatorial Guinea,GNQ,191.389,57.103,90.001
2010--2015,2010,Gabon,GAB,279.677,75.155,85.442
2010--2015,2010,Sao Tome and Principe,STP,32.958,6.58,-5.599
2010--2015,2010,Algeria,DZA,4808.212,911.051,-143.268
2010--2015,2010,Egypt,EGY,12661.897,2716.295,-275.026
2010--2015,2010,Libya,LBY,659.182,159.972,-433.403
2010--2015,2010,Morocco,MAR,3577.584,876.802,-307.108
2010--2015,2010,Sudan,SDN,6274.213,1422.985,-589.384
2010--2015,2010,Tunisia,TUN,1048.883,349.191,-65.963
2010--2015,2010,Western Sahara,ESH,55.86,12.78,2.862
2010--2015,2010,Botswana,BWA,265.387,86.057,15
2010--2015,2010,Lesotho,LSO,302.071,142.967,-25
2010--2015,2010,Namibia,NAM,348.936,95.179,-1.371
2010--2015,2010,South Africa,ZAF,5886.553,2986.493,806.5
2010--2015,2010,Swaziland,SWZ,190.537,68.37,-6
2010--2015,2010,Benin,BEN,1899.774,480.808,-42.268
2010--2015,2010,Burkina Faso,BFA,3437.548,807.138,-125
2010--2015,2010,Cabo Verde,CPV,56.46,14.881,-11.052
2010--2015,2010,Cote d'Ivoire,CIV,4102.105,1454.963,60
2010--2015,2010,Gambia,GMB,377.816,78.901,-13.476
2010--2015,2010,Ghana,GHA,4261.208,1140.491,-49.999
2010--2015,2010,Guinea,GIN,2144.364,597.004,-250
2010--2015,2010,Guinea-Bissau,GNB,319.501,94.851,-10.003
2010--2015,2010,Liberia,LBR,756.895,185.405,-20
2010--2015,2010,Mali,MLI,3639.774,944.506,-302.449
2010--2015,2010,Mauritania,MRT,692.471,159.675,40
2010--2015,2010,Niger,NER,4469.172,969.288,-28.497
2010--2015,2010,Nigeria,NGA,34423.618,11520.129,-300
2010--2015,2010,Senegal,SEN,2620.891,460.128,-99.996
2010--2015,2010,Sierra Leone,SLE,1276.406,477.098,-21
2010--2015,2010,Togo,TGO,1247.365,323.519,-9.994
2010--2015,2010,China,CHN,88023.949,48838.706,-1528.4460000000001
2010--2015,2010,"China, Hong Kong SAR",HKG,373.74,228.15,74.892
2010--2015,2010,"China, Macao SAR",MAC,32.037,10.408,42.35
2010--2015,2010,Dem. People's Republic of Korea,PRK,1747.986,1068.656,-27.013
2010--2015,2010,Japan,JPN,5388.04,6323.078,358.133
2010--2015,2010,Mongolia,MNG,369.462,90.238,-15.001
2010--2015,2010,Republic of Korea,KOR,2239.804,1368.634,169.634
2010--2015,2010,Kazakhstan,KAZ,1950.41,759.543,159.807
2010--2015,2010,Kyrgyzstan,KGZ,763.723,182.755,-137.902
2010--2015,2010,Tajikistan,TJK,1222.104,215.085,-99.999
2010--2015,2010,Turkmenistan,TKM,719.163,191.084,-50.002
2010--2015,2010,Uzbekistan,UZB,3308.479,872.282,-66.469
2010--2015,2010,Afghanistan,AFG,5651.992,1166.668,448.007
2010--2015,2010,Bangladesh,BGD,15828.452,4250.184,-2526.483
2010--2015,2010,Bhutan,BTN,73.015,23.272,10
2010--2015,2010,India,IND,127304.801,46653.296,-2578.213
2010--2015,2010,Iran (Islamic Republic of),IRN,6993.447,1800.474,-400.001
2010--2015,2010,Maldives,MDV,38.794,6.812,21.916
2010--2015,2010,Nepal,NPL,2908.41,902.899,-372.369
2010--2015,2010,Pakistan,PAK,26766.258,6764.008,-1181.92
2010--2015,2010,Sri Lanka,LKA,1678.755,678.301,-484.772
2010--2015,2010,Brunei Darussalam,BRN,33.646,6.788,2.03
2010--2015,2010,Cambodia,KHM,1828.743,469.855,-149.999
2010--2015,2010,Indonesia,IDN,25326.902,8853.909,-835
2010--2015,2010,Lao People's Democratic Republic,LAO,822.126,226.942,-177.488
2010--2015,2010,Malaysia,MYS,2524.464,695.257,781.65
2010--2015,2010,Myanmar,MMR,4795.682,2073.63,-474.278
2010--2015,2010,Philippines,PHL,11770.072,3130.333,-650
2010--2015,2010,Singapore,SGP,246.427,123.36,337.932
2010--2015,2010,Thailand,THA,3822.704,2541.233,167.314
2010--2015,2010,Timor-Leste,TLS,216.173,34.781,-50.004
2010--2015,2010,Viet Nam,VNM,7926.244,2627.186,-200.002
2010--2015,2010,Armenia,ARM,210.753,140.577,-30.535
2010--2015,2010,Azerbaijan,AZE,895.744,310.72,0
2010--2015,2010,Bahrain,BHR,104.287,15.295,42
2010--2015,2010,Cyprus,CYP,64.268,38.4,22.509
2010--2015,2010,Georgia,GEO,293.667,268.535,-305.269
2010--2015,2010,Iraq,IRQ,5775.904,886.617,463.665
2010--2015,2010,Israel,ISR,829.197,210.101,19.497
2010--2015,2010,Jordan,JOR,1158.844,157.209,975.285
2010--2015,2010,Kuwait,KWT,312.459,44.746,670
2010--2015,2010,Lebanon,LBN,381.389,117.05,1250
2010--2015,2010,Oman,OMN,389.746,48.892,817.5
2010--2015,2010,Qatar,QAT,115.791,15.927,602
2010--2015,2010,Saudi Arabia,SAU,3062.869,521.413,1590
2010--2015,2010,State of Palestine,PSE,717.491,77.685,-43.751
2010--2015,2010,Syrian Arab Republic,SYR,2412.87,538.823,-4157.896
2010--2015,2010,Turkey,TUR,6511.903,2194.516,1627.172
2010--2015,2010,United Arab Emirates,ARE,468.768,65.144,480
2010--2015,2010,Yemen,YEM,4243.524,859.09,-75.01
2010--2015,2010,Belarus,BLR,572.183,635.276,75.799
2010--2015,2010,Bulgaria,BGR,342.416,545.141,-24.472
2010--2015,2010,Czech Republic,CZE,552.047,544.569,59.997
2010--2015,2010,Hungary,HUN,447.403,621.317,29.999
2010--2015,2010,Poland,POL,1914.196,1898.382,-73.997
2010--2015,2010,Republic of Moldova,MDA,222.379,231.352,-9.529
2010--2015,2010,Romania,ROU,989.809,1253.533,-299.997
2010--2015,2010,Russian Federation,RUS,9313.276,9597.031,1017.884
2010--2015,2010,Slovakia,SVK,285.286,261.613,11.346
2010--2015,2010,Ukraine,UKR,2444.029,3378.829,-200
2010--2015,2010,Channel Islands,CHI,7.727,7.205,3.654
2010--2015,2010,Denmark,DNK,292.728,265.721,106.841
2010--2015,2010,Estonia,EST,71.181,77.442,-10.516
2010--2015,2010,Finland,FIN,292.788,258.024,81.416
2010--2015,2010,Iceland,ISL,22.481,10.409,-2.163
2010--2015,2010,Ireland,IRL,358.493,145.313,-139.996
2010--2015,2010,Latvia,LVA,104.345,147.207,-83.325
2010--2015,2010,Lithuania,LTU,158.055,203.716,-146.217
2010--2015,2010,Norway,NOR,298.829,206.69,221.814
2010--2015,2010,Sweden,SWE,573.474,454.036,253.958
2010--2015,2010,United Kingdom,GBR,3999.627,2899.392,990
2010--2015,2010,Albania,ALB,176.621,100.368,-93.425
2010--2015,2010,Bosnia and Herzegovina,BIH,164.63,189.38,-161.371
2010--2015,2010,Croatia,HRV,206.105,265.468,-32.772
2010--2015,2010,Greece,GRC,509.145,575.55,-161.799
2010--2015,2010,Italy,ITA,2556.543,3046.277,264.145
2010--2015,2010,Malta,MLT,20.419,18.36,9.447
2010--2015,2010,Montenegro,MNE,37.417,30.417,-3.112
2010--2015,2010,Portugal,PRT,446.647,540.502,-140
2010--2015,2010,Serbia,SRB,476.043,554.487,-99.999
2010--2015,2010,Slovenia,SVN,108.008,94.961,16.571
2010--2015,2010,Spain,ESP,2178.802,1999.765,-570
2010--2015,2010,TFYR Macedonia,MKD,117.163,99.737,-8.853
2010--2015,2010,Austria,AUT,403.513,401.968,267.172
2010--2015,2010,Belgium,BEL,634.763,544.242,258.672
2010--2015,2010,France,FRA,3866.151,2797.409,361.722
2010--2015,2010,Germany,DEU,3467.663,4431.789,1777.126
2010--2015,2010,Luxembourg,LUX,29.978,19.829,48.704
2010--2015,2010,Netherlands,NLD,889.261,696.369,62.687
2010--2015,2010,Switzerland,CHE,417.009,326.474,397.267
2010--2015,2010,Antigua and Barbuda,ATG,8.162,2.841,-0.056
2010--2015,2010,Aruba,ABW,5.695,4.272,1.253
2010--2015,2010,Bahamas,BHS,27.64,11.305,9.672
2010--2015,2010,Barbados,BRB,17.243,14.774,2.18
2010--2015,2010,Cuba,CUB,637.115,435.47,-73.271
2010--2015,2010,Curacao,CUW,9.828,6.245,6.817
2010--2015,2010,Dominican Republic,DOM,1091.848,308.43,-153.01
2010--2015,2010,Grenada,GRD,10.241,3.819,-4.274
2010--2015,2010,Guadeloupe,GLP,26.84,17.142,-10.005
2010--2015,2010,Haiti,HTI,1320.438,458.988,-150
2010--2015,2010,Jamaica,JAM,244.965,97.155,-93.096
2010--2015,2010,Martinique,MTQ,23.476,15.768,-16.772
2010--2015,2010,Puerto Rico,PRI,206.837,146.268,-103.53
2010--2015,2010,Saint Lucia,LCA,11.02,6.435,0.04
2010--2015,2010,Saint Vincent and the Grenadines,VCT,8.985,3.839,-5
2010--2015,2010,Trinidad and Tobago,TTO,99.027,62.034,-4.999
2010--2015,2010,United States Virgin Islands,VIR,7.372,4.043,-4.501
2010--2015,2010,Belize,BLZ,39.587,9.503,7.594
2010--2015,2010,Costa Rica,CRI,353.839,110.92,19.658
2010--2015,2010,El Salvador,SLV,594.742,206.471,-240.415
2010--2015,2010,Guatemala,GTM,2055.174,383.032,-50.131
2010--2015,2010,Honduras,HND,988.085,207.035,-15.001
2010--2015,2010,Mexico,MEX,11767.045,2895.037,-300
2010--2015,2010,Nicaragua,NIC,620.154,140.844,-135
2010--2015,2010,Panama,PAN,392.137,94.215,28.105
2010--2015,2010,Argentina,ARG,3770.839,1606.961,30
2010--2015,2010,Bolivia (Plurinational State of),BOL,1258.165,389.911,-61.794
2010--2015,2010,Brazil,BRA,15128.756,5978.843,15.924
2010--2015,2010,Chile,CHL,1205.137,516.627,80.82
2010--2015,2010,Colombia,COL,3820.45,1364.849,-144.998
2010--2015,2010,Ecuador,ECU,1648.239,400.567,-38.001
2010--2015,2010,French Guiana,GUF,32.412,3.895,6
2010--2015,2010,Guyana,GUY,79.741,30.505,-27.278
2010--2015,2010,Paraguay,PRY,695.732,179.786,-86.7
2010--2015,2010,Peru,PER,3098.142,855.116,-240
2010--2015,2010,Suriname,SUR,51.387,19.273,-5
2010--2015,2010,Uruguay,URY,245.595,158.454,-30
2010--2015,2010,Venezuela (Bolivarian Republic of),VEN,3019.141,822.921,-69.121
2010--2015,2010,Canada,CAN,1918.854,1283.537,1145.721
2010--2015,2010,United States of America,USA,19699.07,12911.299,4500
2010--2015,2010,Australia,AUS,1524.935,758.552,913.107
2010--2015,2010,New Zealand,NZL,307.748,154.174,90.895
2010--2015,2010,Fiji,FJI,90.557,29.644,-28.72
2010--2015,2010,New Caledonia,NCL,21.172,8.773,5.66
2010--2015,2010,Papua New Guinea,PNG,1083.364,270.783,-1.001
2010--2015,2010,Solomon Islands,SLB,85.826,14.265,-11.868
2010--2015,2010,Vanuatu,VUT,33.746,6.049,0.604
2010--2015,2010,Guam,GUM,13.86,3.907,-7.594
2010--2015,2010,Kiribati,KIR,15.697,3.806,-2.13
2010--2015,2010,Micronesia (Fed. States of),FSM,12.255,3.248,-8.192
2010--2015,2010,French Polynesia,PYF,21.957,7.088,-4.998
2010--2015,2010,Samoa,WSM,25.043,4.805,-12.69
2010--2015,2010,Tonga,TON,13.512,3.203,-8.078
