,year,src_abb,tgt_abb,src_num,tgt_num,flow,trade_dependence,conflict,trade_dependence_inv,conflict_inv,democ_src,autoc_src,GDP_per_cap_src,avg_temp_src,years_in_school_src,birth_rateper1000_src,LandLocked_src,water_risk_src,snow_src,tsunami_src,tornado_src,avalanche_src,fire_src,severe_storms_src,mudslide_src,icestorms_src,tropical_storms_src,democ_tgt,autoc_tgt,GDP_per_cap_tgt,avg_temp_tgt,years_in_school_tgt,birth_rateper1000_tgt,LandLocked_tgt,water_risk_tgt,snow_tgt,tsunami_tgt,tornado_tgt,avalanche_tgt,fire_tgt,severe_storms_tgt,mudslide_tgt,icestorms_tgt,tropical_storms_tgt,trade_dependence_factor,conflict_factor,trade_dependence_inv_factor,conflict_inv_factor,democ_src_factor,autoc_src_factor,GDP_per_cap_src_factor,avg_temp_src_factor,years_in_school_src_factor,birth_rateper1000_src_factor,LandLocked_src_factor,water_risk_src_factor,snow_src_factor,tsunami_src_factor,tornado_src_factor,avalanche_src_factor,fire_src_factor,severe_storms_src_factor,mudslide_src_factor,icestorms_src_factor,tropical_storms_src_factor,democ_tgt_factor,autoc_tgt_factor,GDP_per_cap_tgt_factor,avg_temp_tgt_factor,years_in_school_tgt_factor,birth_rateper1000_tgt_factor,LandLocked_tgt_factor,water_risk_tgt_factor,snow_tgt_factor,tsunami_tgt_factor,tornado_tgt_factor,avalanche_tgt_factor,fire_tgt_factor,severe_storms_tgt_factor,mudslide_tgt_factor,icestorms_tgt_factor,tropical_storms_tgt_factor,bias_factor,log_prediction,flow_prediction,log_prediction_accuracy_sigma
796058,1970,GTM,SLV,320,222,146.4,0.04218645,0.0,0.0691205,0.0,3,2,338.682043,18.686666666666667,1.35,45.324,0,3,0,0,0,0,1,1,0,0,1,3,3,308.4397022,20.342083333333328,2.28,42.878,0,2,0,0,0,0,1,0,0,0,0,1.1057644978576229,-0.16342674634107307,0.7448376891670639,0.4445761697126376,-0.07809410197089611,0.3558332574470284,1.5342278605157167,0.9083111723464842,0.04784921226527632,0.30697807814787464,0.2202984726014668,0.1366654380764596,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.249537860680621,0.2360517752568169,0.06676110575532679,-0.3970000979435514,-0.0334220589907178,0.5290057906395754,0.6048779346042233,-0.6444083036172767,-0.11744471948018367,0.5728390597996761,0.3446323819526085,0.09689942948040793,-0.03151688849911862,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.14971836546245762,0.14832155506816228,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,9.196279798056064,9860.378142780448,1.8807937785379147
808584,1970,HND,NIC,340,558,899.6,0.02426003,0.0,0.0234488,0.0,1,2,266.1362102,25.79490740740741,1.91,47.73,0,1,0,0,0,0,1,0,0,0,0,0,8,322.7016355,26.21458333333333,2.65,46.13399999999999,0,1,0,0,0,0,1,0,0,0,0,1.2832410047513867,-0.16342674634107307,0.2465328638418975,0.4445761697126376,-0.18870548169678467,0.3558332574470284,1.5734533297912836,0.467197768951455,0.008551137232056772,0.5575073982434101,0.2202984726014668,-0.2350323750241257,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.249537860680621,0.04418162375056675,0.06676110575532679,-0.3970000979435514,0.3136537526051446,-0.2337659026437577,0.3979849051453521,-0.643962796206614,0.3273024211677982,0.6068654865760202,0.8094877046961859,0.09689942948040793,-0.14315835416442832,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.14971836546245762,0.14832155506816228,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,8.220459467001708,3716.2094659280388,1.8807937785379147
1745231,1970,SLV,NIC,222,558,169.8,0.02051072,0.0,0.02989754,0.0,3,3,308.4397022,20.342083333333328,2.28,42.878,0,2,0,0,0,0,1,0,0,0,0,0,8,322.7016355,26.21458333333333,2.65,46.13399999999999,0,1,0,0,0,0,1,0,0,0,0,1.2018890284887016,-0.16342674634107307,0.12482182052449305,0.4445761697126376,-0.07809410197089611,0.2014435255643914,1.5504796586347218,0.3307247727511075,0.09770532427110064,0.23672697865065326,0.2202984726014668,0.2791821489019229,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.249537860680621,0.04418162375056675,0.06676110575532679,-0.3970000979435514,0.3136537526051446,-0.2337659026437577,0.3979849051453521,-0.643962796206614,0.3273024211677982,0.6068654865760202,0.8094877046961859,0.09689942948040793,-0.14315835416442832,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.14971836546245762,0.14832155506816228,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,8.096759719280296,3283.81035023331,1.8807937785379147
795015,1970,GTM,NIC,320,558,84.4,0.01206828,0.0,0.02800979,0.0,3,2,338.682043,18.686666666666667,1.35,45.324,0,3,0,0,0,0,1,1,0,0,1,0,8,322.7016355,26.21458333333333,2.65,46.13399999999999,0,1,0,0,0,0,1,0,0,0,0,0.7157740190830486,-0.16342674634107307,0.16538013169632415,0.4445761697126376,-0.07809410197089611,0.3558332574470284,1.5342278605157167,0.9083111723464842,0.04784921226527632,0.30697807814787464,0.2202984726014668,0.1366654380764596,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.249537860680621,0.2360517752568169,0.06676110575532679,-0.3970000979435514,-0.0334220589907178,-0.2337659026437577,0.3979849051453521,-0.643962796206614,0.3273024211677982,0.6068654865760202,0.8094877046961859,0.09689942948040793,-0.14315835416442832,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.14971836546245762,0.14832155506816228,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,8.089599970981805,3260.3830614884027,1.8807937785379147
793343,1970,GTM,HND,320,340,23.6,0.01892384,0.0,0.04968741,0.0,3,2,338.682043,18.686666666666667,1.35,45.324,0,3,0,0,0,0,1,1,0,0,1,1,2,266.1362102,25.79490740740741,1.91,47.73,0,1,0,0,0,0,1,0,0,0,0,1.145397952749107,-0.16342674634107307,0.17358317001840692,0.4445761697126376,-0.07809410197089611,0.3558332574470284,1.5342278605157167,0.9083111723464842,0.04784921226527632,0.30697807814787464,0.2202984726014668,0.1366654380764596,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.249537860680621,0.2360517752568169,0.06676110575532679,-0.3970000979435514,-0.0334220589907178,-0.3648922110878691,0.4397391766604167,-0.6457121628617607,0.3185633827244771,0.3132069695779693,0.7017297416025278,0.09689942948040793,-0.14315835416442832,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.14971836546245762,0.14832155506816228,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,8.026150020850721,3059.93826788984,1.8807937785379147
1741386,1970,SLV,GTM,222,320,210.6,0.0691205,0.0,0.04218645,0.0,3,3,308.4397022,20.342083333333328,2.28,42.878,0,2,0,0,0,0,1,0,0,0,0,3,2,338.682043,18.686666666666667,1.35,45.324,0,3,0,0,0,0,1,1,0,0,1,1.271041140384824,-0.16342674634107307,0.02746498259475933,0.4445761697126376,-0.07809410197089611,0.2014435255643914,1.5504796586347218,0.3307247727511075,0.09770532427110064,0.23672697865065326,0.2202984726014668,0.2791821489019229,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.249537860680621,0.04418162375056675,0.06676110575532679,-0.3970000979435514,0.3136537526051446,0.5290057906395754,0.4397391766604167,-0.6434600763405273,0.4799767308437423,-0.08851617686057033,0.6919952107236674,0.09689942948040793,0.019841712919215874,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.14971836546245762,0.1319123634083039,-0.11311147004998914,-0.19823189915645328,-0.11915299976780253,2.8022968453652,7.841437574041637,2543.859192432568,1.8807937785379147
806256,1970,HND,GTM,340,320,9.6,0.04968741,0.0,0.01892384,0.0,1,2,266.1362102,25.79490740740741,1.91,47.73,0,1,0,0,0,0,1,0,0,0,0,3,2,338.682043,18.686666666666667,1.35,45.324,0,3,0,0,0,0,1,1,0,0,1,1.0255598070284062,-0.16342674634107307,0.26344332699659906,0.4445761697126376,-0.18870548169678467,0.3558332574470284,1.5734533297912836,0.467197768951455,0.008551137232056772,0.5575073982434101,0.2202984726014668,-0.2350323750241257,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.249537860680621,0.04418162375056675,0.06676110575532679,-0.3970000979435514,0.3136537526051446,0.5290057906395754,0.4397391766604167,-0.6434600763405273,0.4799767308437423,-0.08851617686057033,0.6919952107236674,0.09689942948040793,0.019841712919215874,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.14971836546245762,0.1319123634083039,-0.11311147004998914,-0.19823189915645328,-0.11915299976780253,2.8022968453652,7.752571313228378,2327.549585767768,1.8807937785379147
906136,1970,IRQ,ITA,368,380,94.8,0.1119842,0.0,0.002919469,0.0,0,7,330.8852017,23.220925925925933,0.65,45.644,0,4,0,0,0,0,0,1,0,0,0,10,0,2099.914291,12.39588768115942,5.17,16.7,0,4,0,0,0,1,0,0,0,0,0,2.4549607688811736,-0.16342674634107307,-0.917014688410857,0.4445761697126376,0.04695198112826633,0.25782716373178144,1.5384041088429383,0.5742783299035062,0.3221265549137526,0.33327319130336,0.2202984726014668,-0.030379075649971683,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.030694220976959983,0.2360517752568169,0.06676110575532679,-0.3970000979435514,0.3136537526051446,0.12389189382148022,-0.4339744031736637,-0.5687589586250646,-0.15921879773525394,0.1598752081432403,-0.0992460360181992,0.09689942948040793,0.2334868078481645,-0.8839864338358882,0.37704672202624695,0.6624846124831751,0.5065702658978284,0.13051463818571624,0.14832155506816228,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,7.554342594209098,1909.0148339103475,1.8807937785379147
573129,1970,DZA,FRA,12,250,43327.2,0.2466132,0.0,0.007251351,0.0,0,9,336.2248556,19.439583333333328,0.78,47.092,0,4,0,0,0,0,0,1,1,0,0,8,0,2857.252176,11.00708333333333,4.96,17.0,0,3,0,0,0,1,0,0,0,0,0,2.153474520699307,-0.16342674634107307,-0.33390550360305515,0.4445761697126376,0.04695198112826633,-0.28603005721209124,1.535542989278473,0.52439821918732,0.2827109980222255,0.5043756166970264,0.2202984726014668,-0.030379075649971683,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.030694220976959983,0.2360517752568169,0.21347127023696272,-0.3970000979435514,0.3136537526051446,0.17087189437712516,-0.4339744031736637,-0.5279633287700819,-0.14851933612836246,0.25075439888644485,-0.15273945437308498,0.09689942948040793,0.019841712919215874,-0.8839864338358882,0.37704672202624695,0.6624846124831751,0.5065702658978284,0.13051463818571624,0.14832155506816228,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,7.439979882071174,1702.7159656875724,1.8807937785379147
985298,1970,JOR,SAU,400,682,1250.0,0.026422900000000003,0.0,0.002017729,0.0,0,9,371.5727679,18.953,2.25,50.789,0,5,0,0,0,0,0,0,0,0,0,0,10,921.3459441,25.52423611111111,3.19,46.772,0,5,0,0,0,0,0,1,0,0,0,1.301588552725408,-0.16342674634107307,-1.0700841262733205,0.4445761697126376,0.04695198112826633,-0.28603005721209124,1.5167146197835053,0.7753441292986355,0.0915496716658039,-0.02588880083628764,0.2202984726014668,0.5604285801710156,-0.8528973082749227,0.1017046198149135,0.03387575316473518,-0.2446215692807658,0.030694220976959983,0.04418162375056675,0.06676110575532679,-0.3970000979435514,0.3136537526051446,-0.2337659026437577,0.4645741150269526,-0.6227178297934982,0.2969794494363279,0.234663426016129,0.8100566134749663,0.09689942948040793,0.6694524184829429,-0.8839864338358882,0.37704672202624695,0.6624846124831751,-0.2263383959872257,0.13051463818571624,0.1319123634083039,-0.11311147004998914,-0.19823189915645328,0.3993841317923487,2.8022968453652,7.306487380704278,1489.9344142730088,1.8807937785379147
