"src_abb","src_num","tgt_abb","tgt_num","year","intensity_level"
"JOR",400,"ISR",376,1949,1
"LBN",422,"ISR",376,1948,2
"LBN",422,"ISR",376,1949,1
"SYR",760,"ISR",376,1948,2
"SYR",760,"ISR",376,1949,1
"IRQ",368,"ITA",380,1991,2
"ISR",376,"JOR",400,1967,2
"CHN",156,"KOR",410,1950,2
"CHN",156,"KOR",410,1951,2
"CHN",156,"KOR",410,1952,2
"CHN",156,"KOR",410,1953,2
"PRK",408,"KOR",410,1949,1
"PRK",408,"KOR",410,1950,2
"PRK",408,"KOR",410,1951,2
"PRK",408,"KOR",410,1952,2
"PRK",408,"KOR",410,1953,2
"RUS",643,"KOR",410,1950,2
"RUS",643,"KOR",410,1951,2
"RUS",643,"KOR",410,1952,2
"RUS",643,"KOR",410,1953,2
"IRQ",368,"KWT",414,1990,2
"IRQ",368,"KWT",414,1991,2
"TCD",148,"LBY",434,1987,2
"CHN",156,"LUX",442,1951,2
"CHN",156,"LUX",442,1952,2
"CHN",156,"LUX",442,1953,2
"PRK",408,"LUX",442,1951,2
"PRK",408,"LUX",442,1952,2
"PRK",408,"LUX",442,1953,2
"RUS",643,"LUX",442,1951,2
"RUS",643,"LUX",442,1952,2
"RUS",643,"LUX",442,1953,2
"DZA",12,"MAR",504,1963,1
"IRQ",368,"MAR",504,1991,2
"BFA",854,"MLI",466,1985,1
"CHN",156,"MMR",104,1969,1
"IDN",360,"MYS",458,1963,1
"IDN",360,"MYS",458,1964,1
"IDN",360,"MYS",458,1965,1
"IDN",360,"MYS",458,1966,1
"IRQ",368,"NER",562,1991,2
"CMR",120,"NGA",566,1996,1
"TCD",148,"NGA",566,1983,1
"HND",340,"NIC",558,1957,1
"CHN",156,"NLD",528,1951,2
"CHN",156,"NLD",528,1952,2
"CHN",156,"NLD",528,1953,2
"IDN",360,"NLD",528,1962,1
"IRQ",368,"NLD",528,1991,2
"PRK",408,"NLD",528,1951,2
"PRK",408,"NLD",528,1952,2
"PRK",408,"NLD",528,1953,2
"RUS",643,"NLD",528,1951,2
"RUS",643,"NLD",528,1952,2
"RUS",643,"NLD",528,1953,2
"IRQ",368,"NOR",578,1991,2
"CHN",156,"NZL",554,1950,2
"CHN",156,"NZL",554,1951,2
"CHN",156,"NZL",554,1952,2
"CHN",156,"NZL",554,1953,2
"PRK",408,"NZL",554,1950,2
"PRK",408,"NZL",554,1951,2
"PRK",408,"NZL",554,1952,2
"PRK",408,"NZL",554,1953,2
"RUS",643,"NZL",554,1950,2
"RUS",643,"NZL",554,1951,2
"RUS",643,"NZL",554,1952,2
"RUS",643,"NZL",554,1953,2
"IRQ",368,"OMN",512,1991,2
"IND",356,"PAK",586,1948,2
"IND",356,"PAK",586,1964,1
"IND",356,"PAK",586,1965,2
"IND",356,"PAK",586,1971,2
"IND",356,"PAK",586,1984,1
"IND",356,"PAK",586,1987,1
"IND",356,"PAK",586,1989,1
"IND",356,"PAK",586,1990,1
"IND",356,"PAK",586,1991,1
"IND",356,"PAK",586,1992,1
"IND",356,"PAK",586,1996,1
"IND",356,"PAK",586,1997,1
"IND",356,"PAK",586,1998,1
"IND",356,"PAK",586,1999,1
"IND",356,"PAK",586,2000,1
"IND",356,"PAK",586,2001,1
"IND",356,"PAK",586,2002,1
"IND",356,"PAK",586,2003,1
"IND",356,"PAK",586,2014,1
"IND",356,"PAK",586,2015,1
"IND",356,"PAK",586,2016,1
"IND",356,"PAK",586,2017,1
"IND",356,"PAK",586,2018,1
"IRQ",368,"PAK",586,1991,2
"ECU",218,"PER",604,1995,1
"CHN",156,"PHL",608,1950,2
"CHN",156,"PHL",608,1951,2
"CHN",156,"PHL",608,1952,2
"CHN",156,"PHL",608,1953,2
"PRK",408,"PHL",608,1950,2
"PRK",408,"PHL",608,1951,2
"PRK",408,"PHL",608,1952,2
"PRK",408,"PHL",608,1953,2
"RUS",643,"PHL",608,1950,2
"RUS",643,"PHL",608,1951,2
"RUS",643,"PHL",608,1952,2
"RUS",643,"PHL",608,1953,2
"AUS",36,"PRK",408,1965,2
"AUS",36,"PRK",408,1966,2
"AUS",36,"PRK",408,1967,2
"AUS",36,"PRK",408,1968,2
"AUS",36,"PRK",408,1969,2
"AUS",36,"PRK",408,1970,2
"AUS",36,"PRK",408,1971,2
"AUS",36,"PRK",408,1972,2
"KOR",410,"PRK",408,1965,2
"KOR",410,"PRK",408,1966,2
"KOR",410,"PRK",408,1967,2
"KOR",410,"PRK",408,1968,2
"KOR",410,"PRK",408,1969,2
"KOR",410,"PRK",408,1970,2
"KOR",410,"PRK",408,1971,2
"KOR",410,"PRK",408,1972,2
"KOR",410,"PRK",408,1973,2
"NZL",554,"PRK",408,1965,2
"NZL",554,"PRK",408,1966,2
"NZL",554,"PRK",408,1967,2
"NZL",554,"PRK",408,1968,2
"NZL",554,"PRK",408,1969,2
"NZL",554,"PRK",408,1970,2
"NZL",554,"PRK",408,1971,2
"NZL",554,"PRK",408,1972,2
"PHL",608,"PRK",408,1966,2
"PHL",608,"PRK",408,1967,2
"PHL",608,"PRK",408,1968,2
"PHL",608,"PRK",408,1969,2
"THA",764,"PRK",408,1967,2
"THA",764,"PRK",408,1968,2
"THA",764,"PRK",408,1969,2
"THA",764,"PRK",408,1970,2
"THA",764,"PRK",408,1971,2
"THA",764,"PRK",408,1972,2
"USA",840,"PRK",408,1965,2
"USA",840,"PRK",408,1966,2
"USA",840,"PRK",408,1967,2
"USA",840,"PRK",408,1968,2
"USA",840,"PRK",408,1969,2
"USA",840,"PRK",408,1970,2
"USA",840,"PRK",408,1971,2
"USA",840,"PRK",408,1972,2
"USA",840,"PRK",408,1973,2
"VNM",704,"PRK",408,1965,2
"VNM",704,"PRK",408,1966,2
"VNM",704,"PRK",408,1967,2
"VNM",704,"PRK",408,1968,2
"VNM",704,"PRK",408,1969,2
"VNM",704,"PRK",408,1970,2
"VNM",704,"PRK",408,1971,2
"VNM",704,"PRK",408,1972,2
"VNM",704,"PRK",408,1973,2
"VNM",704,"PRK",408,1974,2
"VNM",704,"PRK",408,1975,2
"IRQ",368,"PRT",620,1991,2
"IRQ",368,"QAT",634,1991,2
"AFG",4,"RUS",643,1979,1
"CHN",156,"RUS",643,1969,1
"HUN",348,"RUS",643,1956,2
"IRQ",368,"SAU",682,1991,2
"IRQ",368,"SEN",686,1991,2
"IRQ",368,"SLE",694,1991,2
"CUB",192,"SOM",706,1977,2
"CUB",192,"SOM",706,1978,2
"CUB",192,"SOM",706,1980,1
"ETH",231,"SOM",706,1964,1
"ETH",231,"SOM",706,1977,2
"ETH",231,"SOM",706,1978,2
"ETH",231,"SOM",706,1980,1
"YEM",887,"SOM",706,1977,2
"YEM",887,"SOM",706,1978,2
"IRQ",368,"SYR",760,1991,2
"ISR",376,"SYR",760,1967,2
"ISR",376,"SYR",760,1973,2
"CHN",156,"THA",764,1950,2
"CHN",156,"THA",764,1951,2
"CHN",156,"THA",764,1952,2
"CHN",156,"THA",764,1953,2
"FRA",250,"THA",764,1946,1
"KHM",116,"THA",764,1977,1
"KHM",116,"THA",764,1978,1
"KHM",116,"THA",764,2011,1
"LAO",418,"THA",764,1986,1
"LAO",418,"THA",764,1987,1
"LAO",418,"THA",764,1988,1
"PRK",408,"THA",764,1950,2
"PRK",408,"THA",764,1951,2
"PRK",408,"THA",764,1952,2
"PRK",408,"THA",764,1953,2
"RUS",643,"THA",764,1950,2
"RUS",643,"THA",764,1951,2
"RUS",643,"THA",764,1952,2
"RUS",643,"THA",764,1953,2
"FRA",250,"TUN",788,1961,2
"CHN",156,"TUR",792,1950,2
"CHN",156,"TUR",792,1951,2
"CHN",156,"TUR",792,1952,2
"CHN",156,"TUR",792,1953,2
"CYP",196,"TUR",792,1974,2
"IRQ",368,"TUR",792,1991,2
"PRK",408,"TUR",792,1950,2
"PRK",408,"TUR",792,1951,2
"PRK",408,"TUR",792,1952,2
"PRK",408,"TUR",792,1953,2
"RUS",643,"TUR",792,1950,2
"RUS",643,"TUR",792,1951,2
"RUS",643,"TUR",792,1952,2
"RUS",643,"TUR",792,1953,2
"TZA",834,"UGA",800,1978,1
"AFG",4,"USA",840,2001,2
"CHN",156,"USA",840,1954,2
"CHN",156,"USA",840,1958,2
"CHN",156,"USA",840,1950,2
"CHN",156,"USA",840,1951,2
"CHN",156,"USA",840,1952,2
"CHN",156,"USA",840,1953,2
"GRD",308,"USA",840,1983,1
"IRQ",368,"USA",840,1991,2
"PAN",591,"USA",840,1989,1
"PRK",408,"USA",840,1950,2
"PRK",408,"USA",840,1951,2
"PRK",408,"USA",840,1952,2
"PRK",408,"USA",840,1953,2
"RUS",643,"USA",840,1950,2
"RUS",643,"USA",840,1951,2
"RUS",643,"USA",840,1952,2
"RUS",643,"USA",840,1953,2
"AUS",36,"VNM",704,1965,2
"AUS",36,"VNM",704,1966,2
"AUS",36,"VNM",704,1967,2
"AUS",36,"VNM",704,1968,2
"AUS",36,"VNM",704,1969,2
"AUS",36,"VNM",704,1970,2
"AUS",36,"VNM",704,1971,2
"AUS",36,"VNM",704,1972,2
"CHN",156,"VNM",704,1974,1
"CHN",156,"VNM",704,1978,1
"CHN",156,"VNM",704,1979,2
"CHN",156,"VNM",704,1980,1
"CHN",156,"VNM",704,1981,1
"CHN",156,"VNM",704,1983,1
"CHN",156,"VNM",704,1984,1
"CHN",156,"VNM",704,1986,1
"CHN",156,"VNM",704,1987,1
"CHN",156,"VNM",704,1988,1
"KHM",116,"VNM",704,1975,1
"KHM",116,"VNM",704,1976,1
"KHM",116,"VNM",704,1977,1
"KOR",410,"VNM",704,1965,2
"KOR",410,"VNM",704,1966,2
"KOR",410,"VNM",704,1967,2
"KOR",410,"VNM",704,1968,2
"KOR",410,"VNM",704,1969,2
"KOR",410,"VNM",704,1970,2
"KOR",410,"VNM",704,1971,2
"KOR",410,"VNM",704,1972,2
"KOR",410,"VNM",704,1973,2
"NZL",554,"VNM",704,1965,2
"NZL",554,"VNM",704,1966,2
"NZL",554,"VNM",704,1967,2
"NZL",554,"VNM",704,1968,2
"NZL",554,"VNM",704,1969,2
"NZL",554,"VNM",704,1970,2
"NZL",554,"VNM",704,1971,2
"NZL",554,"VNM",704,1972,2
"PHL",608,"VNM",704,1966,2
"PHL",608,"VNM",704,1967,2
"PHL",608,"VNM",704,1968,2
"PHL",608,"VNM",704,1969,2
"THA",764,"VNM",704,1967,2
"THA",764,"VNM",704,1968,2
"THA",764,"VNM",704,1969,2
"THA",764,"VNM",704,1970,2
"THA",764,"VNM",704,1971,2
"THA",764,"VNM",704,1972,2
"USA",840,"VNM",704,1965,2
"USA",840,"VNM",704,1966,2
"USA",840,"VNM",704,1967,2
"USA",840,"VNM",704,1968,2
"USA",840,"VNM",704,1969,2
"USA",840,"VNM",704,1970,2
"USA",840,"VNM",704,1971,2
"USA",840,"VNM",704,1972,2
"USA",840,"VNM",704,1973,2
"CHN",156,"ZAF",710,1950,2
"CHN",156,"ZAF",710,1951,2
"CHN",156,"ZAF",710,1952,2
"CHN",156,"ZAF",710,1953,2
"PRK",408,"ZAF",710,1950,2
"PRK",408,"ZAF",710,1951,2
"PRK",408,"ZAF",710,1952,2
"PRK",408,"ZAF",710,1953,2
"RUS",643,"ZAF",710,1950,2
"RUS",643,"ZAF",710,1951,2
"RUS",643,"ZAF",710,1952,2
"RUS",643,"ZAF",710,1953,2
