"src_abb","src_num","tgt_abb","tgt_num","year","intensity_level"
NA,NA,"GUF",254,NA,NA
NA,NA,"GUM",316,NA,NA
NA,NA,"GUY",328,NA,NA
NA,NA,"HKG",344,NA,NA
"SLV",222,"HND",340,1969,2
NA,NA,"HRV",191,NA,NA
NA,NA,"HTI",332,NA,NA
NA,NA,"HUN",348,NA,NA
NA,NA,"IDN",360,NA,NA
"CHN",156,"IND",356,1962,2
"CHN",156,"IND",356,1967,1
NA,NA,"IRL",372,NA,NA
NA,NA,"IRN",364,NA,NA
"AUS",36,"IRQ",368,2003,2
"GBR",826,"IRQ",368,2003,2
"IRN",364,"IRQ",368,1974,1
"IRN",364,"IRQ",368,1980,2
"IRN",364,"IRQ",368,1981,2
"IRN",364,"IRQ",368,1982,2
"IRN",364,"IRQ",368,1983,2
"IRN",364,"IRQ",368,1984,2
"IRN",364,"IRQ",368,1985,2
"IRN",364,"IRQ",368,1986,2
"IRN",364,"IRQ",368,1987,2
"IRN",364,"IRQ",368,1988,2
"USA",840,"IRQ",368,2003,2
NA,NA,"ISL",352,NA,NA
"EGY",818,"ISR",376,1956,2
"EGY",818,"ISR",376,1948,2
"EGY",818,"ISR",376,1949,1
"EGY",818,"ISR",376,1967,2
"EGY",818,"ISR",376,1969,1
"EGY",818,"ISR",376,1970,1
"EGY",818,"ISR",376,1973,2
"IRN",364,"ISR",376,2018,1
"IRQ",368,"ISR",376,1948,2
"IRQ",368,"ISR",376,1949,1
"JOR",400,"ISR",376,1948,2
"JOR",400,"ISR",376,1949,1
"LBN",422,"ISR",376,1948,2
"LBN",422,"ISR",376,1949,1
"SYR",760,"ISR",376,1948,2
"SYR",760,"ISR",376,1949,1
NA,NA,"ITA",380,NA,NA
NA,NA,"JAM",388,NA,NA
"ISR",376,"JOR",400,1967,2
NA,NA,"JPN",392,NA,NA
NA,NA,"KAZ",398,NA,NA
NA,NA,"KEN",404,NA,NA
NA,NA,"KGZ",417,NA,NA
NA,NA,"KHM",116,NA,NA
NA,NA,"KIR",296,NA,NA
"PRK",408,"KOR",410,1949,1
"PRK",408,"KOR",410,1950,2
"PRK",408,"KOR",410,1951,2
"PRK",408,"KOR",410,1952,2
"PRK",408,"KOR",410,1953,2
"IRQ",368,"KWT",414,1990,2
"IRQ",368,"KWT",414,1991,2
NA,NA,"LAO",418,NA,NA
NA,NA,"LBN",422,NA,NA
NA,NA,"LBR",430,NA,NA
"TCD",148,"LBY",434,1987,2
NA,NA,"LCA",662,NA,NA
NA,NA,"LKA",144,NA,NA
NA,NA,"LSO",426,NA,NA
NA,NA,"LTU",440,NA,NA
NA,NA,"LUX",442,NA,NA
NA,NA,"LVA",428,NA,NA
NA,NA,"MAC",446,NA,NA
"DZA",12,"MAR",504,1963,1
NA,NA,"MDA",498,NA,NA
NA,NA,"MDG",450,NA,NA
NA,NA,"MDV",462,NA,NA
NA,NA,"MEX",484,NA,NA
NA,NA,"MKD",807,NA,NA
NA,NA,"MLI",466,NA,NA
NA,NA,"MLT",470,NA,NA
"CHN",156,"MMR",104,1969,1
NA,NA,"MNG",496,NA,NA
NA,NA,"MOZ",508,NA,NA
NA,NA,"MRT",478,NA,NA
NA,NA,"MTQ",474,NA,NA
NA,NA,"MUS",480,NA,NA
NA,NA,"MWI",454,NA,NA
"IDN",360,"MYS",458,1963,1
"IDN",360,"MYS",458,1964,1
"IDN",360,"MYS",458,1965,1
"IDN",360,"MYS",458,1966,1
NA,NA,"MYT",175,NA,NA
NA,NA,"NAM",516,NA,NA
NA,NA,"NCL",540,NA,NA
NA,NA,"NER",562,NA,NA
"CMR",120,"NGA",566,1996,1
"TCD",148,"NGA",566,1983,1
"HND",340,"NIC",558,1957,1
"IDN",360,"NLD",528,1962,1
NA,NA,"NOR",578,NA,NA
NA,NA,"NPL",524,NA,NA
NA,NA,"NZL",554,NA,NA
NA,NA,"OMN",512,NA,NA
"IND",356,"PAK",586,1948,2
"IND",356,"PAK",586,1964,1
"IND",356,"PAK",586,1965,2
"IND",356,"PAK",586,1971,2
"IND",356,"PAK",586,1984,1
"IND",356,"PAK",586,1987,1
"IND",356,"PAK",586,1989,1
"IND",356,"PAK",586,1990,1
"IND",356,"PAK",586,1991,1
"IND",356,"PAK",586,1992,1
"IND",356,"PAK",586,1996,1
"IND",356,"PAK",586,1997,1
"IND",356,"PAK",586,1998,1
"IND",356,"PAK",586,1999,1
"IND",356,"PAK",586,2000,1
"IND",356,"PAK",586,2001,1
"IND",356,"PAK",586,2002,1
"IND",356,"PAK",586,2003,1
"IND",356,"PAK",586,2014,1
"IND",356,"PAK",586,2015,1
"IND",356,"PAK",586,2016,1
"IND",356,"PAK",586,2017,1
"IND",356,"PAK",586,2018,1
NA,NA,"PAN",591,NA,NA
"ECU",218,"PER",604,1995,1
NA,NA,"PHL",608,NA,NA
NA,NA,"PNG",598,NA,NA
NA,NA,"POL",616,NA,NA
NA,NA,"PRI",630,NA,NA
NA,NA,"PRK",408,NA,NA
NA,NA,"PRT",620,NA,NA
NA,NA,"PRY",600,NA,NA
NA,NA,"PSE",275,NA,NA
NA,NA,"PYF",258,NA,NA
NA,NA,"QAT",634,NA,NA
NA,NA,"REU",638,NA,NA
NA,NA,"ROU",642,NA,NA
"AFG",4,"RUS",643,1979,1
"CHN",156,"RUS",643,1969,1
"HUN",348,"RUS",643,1956,2
NA,NA,"RWA",646,NA,NA
NA,NA,"SAU",682,NA,NA
"ABW",533,"SCG",891,NA,NA
"AGO",24,"SCG",891,NA,NA
"ARE",784,"SCG",891,NA,NA
"ARM",51,"SCG",891,NA,NA
"ATG",28,"SCG",891,NA,NA
"AUT",40,"SCG",891,NA,NA
"AZE",31,"SCG",891,NA,NA
"BDI",108,"SCG",891,NA,NA
"BEL",56,"SCG",891,NA,NA
"BEN",204,"SCG",891,NA,NA
"BFA",854,"SCG",891,NA,NA
"BGD",50,"SCG",891,NA,NA
"BGR",100,"SCG",891,NA,NA
"BHR",48,"SCG",891,NA,NA
"BHS",44,"SCG",891,NA,NA
"BIH",70,"SCG",891,NA,NA
"BLR",112,"SCG",891,NA,NA
"BLZ",84,"SCG",891,NA,NA
"BOL",68,"SCG",891,NA,NA
"BRA",76,"SCG",891,NA,NA
"BRB",52,"SCG",891,NA,NA
"BRN",96,"SCG",891,NA,NA
"BTN",64,"SCG",891,NA,NA
"BWA",72,"SCG",891,NA,NA
"CAF",140,"SCG",891,NA,NA
"CAN",124,"SCG",891,NA,NA
"CHE",756,"SCG",891,NA,NA
"CHL",152,"SCG",891,NA,NA
"CIV",384,"SCG",891,NA,NA
"COD",180,"SCG",891,NA,NA
"COG",178,"SCG",891,NA,NA
"COL",170,"SCG",891,NA,NA
"COM",174,"SCG",891,NA,NA
"CPV",132,"SCG",891,NA,NA
"CRI",188,"SCG",891,NA,NA
"CUB",192,"SCG",891,NA,NA
"CZE",203,"SCG",891,NA,NA
"DEU",276,"SCG",891,NA,NA
"DNK",208,"SCG",891,NA,NA
"DOM",214,"SCG",891,NA,NA
"ESP",724,"SCG",891,NA,NA
"EST",233,"SCG",891,NA,NA
"FIN",246,"SCG",891,NA,NA
"FJI",242,"SCG",891,NA,NA
"FSM",583,"SCG",891,NA,NA
"GAB",266,"SCG",891,NA,NA
"GEO",268,"SCG",891,NA,NA
"GHA",288,"SCG",891,NA,NA
"GIN",324,"SCG",891,NA,NA
"GLP",312,"SCG",891,NA,NA
"GMB",270,"SCG",891,NA,NA
"GNB",624,"SCG",891,NA,NA
"GNQ",226,"SCG",891,NA,NA
"GRC",300,"SCG",891,NA,NA
"GTM",320,"SCG",891,NA,NA
"GUF",254,"SCG",891,NA,NA
"GUM",316,"SCG",891,NA,NA
"GUY",328,"SCG",891,NA,NA
"HKG",344,"SCG",891,NA,NA
"HRV",191,"SCG",891,NA,NA
